#,Source,Pair,Volume (24h),Price,Volume (%),%,Updated
336,Huobi,LSK/BTC,"$2,482,430",$10830.50,0.03,%,Recently
337,Bibox,ETH/BTC,"$2,469,150",$10704.20,0.03,%,Recently
338,Bit-Z,PUT/BTC,"$2,466,860",$10585.00,0.03,%,Recently
339,Bittrex,SNT/BTC,"$2,428,230",$11032.70,0.03,%,Recently
340,Binance,WAVES/BTC,"$2,416,990",$10781.00,0.03,%,Recently
341,Bibox,JNT/BTC," $2,383,940",$10646.50,0.03,%,Recently
342,Huobi,STK/BTC,"$2,381,800",$10993.70,0.03,%,Recently
343,Binance,SUB/BTC,"$2,379,370",$10739.90,0.03,%,Recently
344,Upbit,OMG/BTC,"$2,363,480",$10777.00,0.03,%,Recently
345,Binance,DASH/BTC,"$2,361,120",$10784.20,0.03,%,Recently
346,YoBit,LTC/BTC,"$2,358,020",$10756.10,0.03,%,Recently
347,Poloniex,SC/BTC,"$2,339,960",$11276.90,0.03,%,Recently
348,Bitfinex,SAN/BTC,"$2,326,330",$10754.80,0.03,%,Recently
349,Livecoin,XMR/BTC,"$2,323,750",$10714.30,0.03,%,Recently
